drug_name,brand_name,dosage,rating,review,activity,prescription,preg,csa,alcohol,allergy,disease_list
EryPed,['E.E.S. 200; E.E.S. 400; E.E.S. Granules ; Eryc ; Eryped;'],[None],,,1,Rx,B,N,X,[None],Bronchitis
Erythrocin,['E.E.S. 200; E.E.S. 400; E.E.S. Granules ; Eryc ; Eryped ;'],[None],,,1,Rx,B,N,X,[None],Bronchitis
Erythrocin Lactobionate,[None],[None],,,1,Rx,B,N,X,[None],Bronchitis
Fenesin IR,['Allfen; Bidex-400 ; Diabetic Tussin Chest Congestion ; Fenesin IR; Geri-Tussin Expectorant;'],[None],7.0,2,1,Rx/OTC,C,N,,['What is the dose for an adult for Robitussin DM? How many times a day?'],Bronchitis
gemifloxacin,['Factive'],['320 mg'],4.0,5,1,Rx,C,N,,[None],Bronchitis
Guaifenex LA,['Allfen; Altarussin ; Amibid LA ; Antitussin; Bidex 400;'],[None],,,1,Rx/OTC,C,N,,[None],Bronchitis
Guiatuss,['Guaituss; Robitussin Maximum Strength'],[None],,,1,Rx/OTC,C,N,,[None],Bronchitis
Hytuss,['Hytuss; Organidin NR'],[None],,,1,Rx/OTC,C,N,,[None],Bronchitis
Mucinex for Kids,['Allfen; Bidex-400 ; Diabetic Tussin Chest Congestion ; Fenesin IR ; Geri-Tussin Expectorant;'],[None],,,1,Rx/OTC,C,N,,['What is the dose for an adult for Robitussin DM? How many times a day?'],Bronchitis
ofloxacin,['Floxin ; Floxin I.V.'],['400 mg'],,,1,Rx,C,N,,"['tendon problems, bone problems, arthritis, or other joint problems', 'blood circulation problems, aneurysm, narrowing orhardening of the arteries', 'heart problems,high blood pressure', ""a genetic disease such asMarfan syndromeor Ehler's-Danlos syndrome"", 'diabetes', 'a muscle or nerve disorder, such asmyasthenia gravis', 'liver or kidney disease', 'a seizure', 'long QT syndrome(in you or a family member)', 'low levels of potassium in your blood (hypokalemia)']",Bronchitis
PCE Dispertab,['E.E.S. 200; E.E.S. 400; E.E.S. Granules ; Eryc ; Eryped ;'],['333 mg'],,,1,Rx,B,N,X,[None],Bronchitis
Scot-Tussin Expectorant,['Allfen; Bidex-400 ; Diabetic Tussin Chest Congestion ; Fenesin IR ; Geri-Tussin Expectorant;'],[None],,,1,Rx/OTC,C,N,,['What is the dose for an adult for Robitussin DM? How many times a day?'],Bronchitis
Xpect,['Allfen; Bidex-400 ; Diabetic Tussin Chest Congestion ; Fenesin IR ; Geri-Tussin Expectorant;'],['400 mg'],,,1,Rx/OTC,C,N,,['What is the dose for an adult for Robitussin DM? How many times a day?'],Bronchitis
Zinacef,[None],[None],,,1,Rx,B,N,,[None],Bronchitis
Amoclan,['Amoclan; Augmentin ; Augmentin ES-600 ; Augmentin XR'],[None],,,0,Rx,B,N,,[None],Bronchitis
Avelox I.V.,[None],[None],,,0,Rx,C,N,,[None],Bronchitis
cefaclor,['Ceclor; Ceclor Pulvules; Ceclor CD; Raniclor'],['500 mg'],,,0,Rx,B,N,,"['cefadroxil(Duricef)', 'cefazolin (Ancef)', 'cefdinir (Omnicef)', 'cefditoren(Spectracef)', 'cefpodoxime(Vantin)', 'cefprozil (Cefzil)', 'ceftibuten(Cedax)', 'cefuroxime (Ceftin)', 'cephalexin (Keflex)', 'cephradine(Velosef) and others']",Bronchitis
cilastatin / imipenem,['Primaxin IV ; Primaxin IM ; Primaxin IV ADD-Vantage'],[None],,,0,Rx,C,N,,"['an allergy to similarantibioticssuch asmeropenem,cephalexin, cefdinir,amoxicillin,ampicillin, penicillin, and others', 'a stroke, epilepsy or other seizure disorde', 'ahead injuryorbrain tum', 'any other type of allergy', 'kidney disease (or if you are on dialysis)']",Bronchitis
Co-trimoxazole,['Bactrim ; Bactrim DS; Septra ; Septra DS ; Sulfatrim'],[None],,,0,Rx,D,N,X,[None],Bronchitis
dicloxacillin,['Dycill ; Dynapen'],['500 mg'],,,0,Rx,B,N,,"['amoxicillin', 'ampicillin', 'carbenicillin', 'oxacillin', 'penicillin']",Bronchitis
Difil-G Forte,['Difil G ; Difil-G Forte; Jay-Phyl'],[None],,,0,Rx,C,N,,"['heart diseaseor a history ofheart attack', 'high blood pressure', 'liver or kidney disease', 'overactive thyroid', 'astomach ulce', 'if you use a beta-blocker medicine (atenolol,bisoprolol,carvedilol,metoprolol,propranolol, sotalol, and many others)']",Bronchitis
Difil G,['Difil G; Difil-G Forte ; Jay-Phyl'],[None],,,0,Rx,C,N,,"['heart diseaseor a history ofheart attack', 'high blood pressure', 'liver or kidney disease', 'overactive thyroid', 'astomach ulce', 'if you use a beta-blocker medicine (atenolol,bisoprolol,carvedilol,metoprolol,propranolol, sotalol, and many others)']",Bronchitis
Dycill,['Dycill; Dynapen'],[None],,,0,Rx,B,N,,"['amoxicillin', 'ampicillin', 'carbenicillin', 'oxacillin', 'penicillin']",Bronchitis
Dynapen,['Dycill ; Dynapen'],[None],,,0,Rx,B,N,,"['amoxicillin', 'ampicillin', 'carbenicillin', 'oxacillin', 'penicillin']",Bronchitis
Factive,[None],['320 mg'],1.0,4,0,Rx,C,N,,[None],Bronchitis
Primaxin IV,[None],[None],,,0,Rx,C,N,,"['an allergy to similarantibioticssuch asmeropenem,cephalexin, cefdinir,amoxicillin,ampicillin, penicillin, and others', 'a stroke, epilepsy or other seizure disorde', 'ahead injuryorbrain tum', 'any other type of allergy', 'kidney disease (or if you are on dialysis)']",Bronchitis
Sulfatrim Pediatric,['Bactrim ; Bactrim DS; Septra ; Septra DS ; SMZ-TMP Pediatric; Sulfatrim ; Sulfatrim Pediatric'],[None],,,0,Rx,D,N,X,[None],Bronchitis
atorvastatin,['Atorvaliq ; Lipitor'],['20 mg'],4.3,252,100,Rx,X,N,X,[None],Cholesterol
simvastatin,['Zocor'],['20 mg'],4.7,116,45,Rx,X,N,X,"['you have active liver disease', 'you are pregnant or breastfeeding']",Cholesterol
rosuvastatin,['Crestor ; Ezallor Sprinkle'],['10 mg'],4.9,205,37,Rx,X,N,X,[None],Cholesterol
Crestor,[None],['10 mg'],5.5,112,36,Rx,X,N,X,"['liver disease/high levels of liver enzymes in your blood', 'if you are pregnant or breastfeeding']",Cholesterol
Repatha,[None],['140 mg'],5.2,424,35,Rx,,N,,"['liver or kidney disease', 'a latex allergy']",Cholesterol
Praluent,[None],['75 mg'],6.4,192,32,Rx,,N,,"['Praluent comes as a single-dose (1 time) pre-filled pen (autoinjector) Your healthcare provider will prescribe the dosage that is best for you', 'Praluent is injected under the skin (subcutaneously) every 2 weeks or every 4 weeks (monthly)', 'Do not shake this medicine Prepare an injection only when you are ready to give it Do not use it if the medicine has changed color or has particles in it Call your pharmacist for new medicine', 'Take the medicine out of the refrigerator and allow it to reach room temperature for 30 to 40 minutes before injecting your dose Do not heat an injection pen or prefilled syringe, and do not leave the pen at room temperature for longer than 30 days', 'You can inject the medicine just under the skin of your upper thigh or abdomen (but keep at least 2 inches away from your belly button), or a caregiver can give it to you into the outer area of your upper arm', 'Each injection pen or prefilled syringe is for one use only Throw it away after one use in a puncture-proof ""sharps"" container, even if there is still medicine left inside Follow state or local laws about how to dispose of this container Keep it out of the reach of children and pets']",Cholesterol
evolocumab,['Repatha'],['140 mg'],5.2,430,31,Rx,,N,,[None],Cholesterol
Leqvio,[None],['284 mg'],6.9,35,31,Rx,,N,,"['A healthcare professional will give you your injection, is injected under your skin (subcutaneously) into the abdomen, upper arm, or thigh Do not inject in areas of active skin disease or injury, such as sunburn, skin rashes, inflammation, or skin infections', 'This medicine is an add-on treatment to an improved diet and the maximum tolerated statin dose', 'The injection is given as an initial dose, then repeated at 3 months, and then every 6 months after that', 'Do not stop receiving this medication without talking to your healthcare provider, as your LDL cholesterol levels may increase']",Cholesterol
bempedoic acid/ezetimibe,['Nexlizet'],['180 mg'],9.9,7,30,Rx,,N,,[None],Cholesterol
bempedoic acid,['Nexletol'],['180 mg'],8.0,4,30,Rx,,N,,[None],Cholesterol
Nexletol,[None],['180 mg'],8.0,4,30,Rx,,N,,[None],Cholesterol
Nexlizet,[None],['180 mg'],9.8,6,30,Rx,,N,,[None],Cholesterol
pravastatin,['Pravachol'],['20 mg'],4.6,67,26,Rx,X,N,X,"['you are pregnant or breastfeeding', 'you have active liver disease']",Cholesterol
Zetia,[None],['10 mg'],4.3,65,17,Rx,C,N,,['moderate to severe liver disease'],Cholesterol
ezetimibe,['Zetia'],['10 mg'],3.8,146,16,Rx,C,N,,['moderate to severe liver disease'],Cholesterol
lovastatin,['Altoprev ; Mevacor ; Altocor'],['20 mg'],6.1,14,12,Rx,X,N,X,"['you are pregnant or breastfeeding', 'you have active liver disease']",Cholesterol
Zocor,[None],['20 mg'],4.8,21,11,Rx,X,N,X,"['you have active liver disease', 'you are pregnant or breastfeeding']",Cholesterol
gemfibrozil,['Lopid'],['600 mg'],6.3,24,8,Rx,C,N,,"['severe liver disease', 'severe kidney disease', 'gallbladder disease', 'if you are also taking repaglinide, dasabuvir, or simvastatin']",Cholesterol
Vytorin,[None],['10 mg'],6.8,19,8,Rx,X,N,X,"['active liver disease', 'abnormal liver function tests']",Cholesterol
Livalo,['Livalo; Zypitamag'],['2 mg'],5.5,89,6,Rx,X,N,X,"['liver disease (including significantly abnormal liver enzyme tests)', 'if you are pregnant or breastfeeding', 'if you are taking cyclosporine']",Cholesterol
niacin,['B-3-50; B3-500-Gr ; Endur-acin ; HDL Benefit ; Niacin SR ;'],['500 mg'],6.0,47,6,Rx/OTC,C,N,X,"['severe liver disease', 'a stomach ulce', 'active bleeding']",Cholesterol
Altoprev,[None],['20 mg'],10,1,4,Rx,X,N,X,"['you are pregnant or breastfeeding', 'you have active liver disease']",Cholesterol
ezetimibe / simvastatin,['Vytorin'],['10 mg'],6.8,19,4,Rx,X,N,X,"['active liver disease', 'abnormal liver function tests']",Cholesterol
fenofibric acid,['Fibricor ; Trilipix'],['135 mg'],5.1,13,4,Rx,C,N,,"['severe kidney disease (or if you are on dialysis)', 'liver disease', 'gallbladder disease']",Cholesterol
Niaspan,['B-3-50; B3-500-Gr ; Niacin SR ; Niacor ; Niaspan ER; Slo-Niacin Drug classes: Miscellaneous antihyperlipidemic agents ; Vitamins'],['750 mg'],5.8,26,4,Rx/OTC,C,N,X,"['liver or kidney disease', 'heart disease or uncontrolled angina (chest pain)', 'a stomach ulce', 'diabetes', 'gout', 'a muscle disorder such as myasthenia gravis']",Cholesterol
Welchol,[None],['625 mg'],6.7,11,4,Rx,B,N,,"['very high levels of triglycerides (a type of fat) in your blood', 'diabetic ketoacidosis (call your doctor for treatment)', 'a history of bowel obstruction', 'a history of pancreatitis caused by high triglycerides']",Cholesterol
Niacin SR,['Endur-acin ; Flush Free Niacin; Heliocare Advanced ; Niacin SR; Niacor ;'],[None],9.0,3,3,Rx/OTC,C,N,X,"['severe liver disease', 'a stomach ulce', 'active bleeding']",Cholesterol
B3-500-Gr,['Endur-acin ; Flush Free Niacin; Heliocare Advanced ; Niacin SR ; Niacor ;'],[None],10,1,2,Rx/OTC,C,N,X,"['severe liver disease', 'a stomach ulce', 'active bleeding']",Cholesterol
colesevelam,['Welchol ; Colesevelam Hydrochloride'],['625 mg'],6.3,14,2,Rx,B,N,,"['very high levels of triglycerides (a type of fat) in your blood', 'diabetic ketoacidosis (call your doctor for treatment)', 'a history of bowel obstruction', 'a history of pancreatitis caused by high triglycerides']",Cholesterol
FloLipid,['Flolipid; Zocor'],[None],10,1,2,Rx,X,N,X,"['you have activeliver disease', 'you are pregnant or breastfeeding(if you are taking the oral suspension)']",Cholesterol
Lopid,[None],['600 mg'],8.0,6,2,Rx,C,N,,"['severeliver disease', 'severe kidney disease', 'gallbladder disease', 'if you are also taking repaglinide, dasabuvir, or simvastatin']",Cholesterol
pitavastatin,['Livalo ; Zypitamag'],['2 mg'],5.6,93,2,Rx,X,N,X,"['a thyroid disorde', 'diabetes', 'if you drink alcohol', 'liver disease,alcoholism', 'kidney disease (or if you are on dialysis)']",Cholesterol
Slo-Niacin,['Endur-acin ; Flush Free Niacin; Heliocare Advanced ; Niacin SR ; Niacor ;'],[None],9.5,2,2,Rx/OTC,C,N,X,"['severe liver disease', 'a stomach ulce', 'active bleeding']",Cholesterol
alirocumab,['Praluent'],['75 mg'],6.3,200,1,Rx,,N,,"['Alirocumab comes as a single-dose (1 time) pre-filled pen (autoinjector) Your healthcare provider will prescribe the dosage that is best for you', 'Alirocumab is injected under the skin (subcutaneously) every 2 weeks or every 4 weeks (monthly)', 'Do not shake this medicine Prepare an injection only when you are ready to give it Do not use it if the medicine has changed color or has particles in it Call your pharmacist for new medicine', 'Take the medicine out of the refrigerator and allow it to reach room temperature for 30 to 40 minutes before injecting your dose Do not heat an injection pen or prefilled syringe, and do not leave the pen at room temperature for longer than 30 days', 'You can inject the medicine just under the skin of your upper thigh or abdomen (but keep at least 2 inches away from your belly button), or a caregiver can give it to you into the outer area of your upper arm', 'Each injection pen or prefilled syringe is for one use only Throw it away after one use in a puncture-proof ""sharps"" container, even if there is still medicine left inside Follow state or local laws about how to dispose of this container Keep it out of the reach of children and pets']",Cholesterol
amlodipine / atorvastatin,['Caduet'],['5 mg'],,,1,Rx,X,N,X,"['you have liver disease', 'you are pregnant or breastfeeding']",Cholesterol
fenofibrate,['Antara ; Fenoglide ; Lipofen ; TriCor ; Triglide ;'],['145 mg'],10,1,1,Rx,C,N,,"['severe kidney disease (or if you are on dialysis)', 'liver disease', 'gallbladder disease']",Cholesterol
fluvastatin,['Lescol ; Lescol XL'],['40 mg'],,,1,Rx,X,N,X,"['you have active liver disease', 'you are pregnant or breastfeeding']",Cholesterol
Lescol XL,['Lescol ; Lescol XL'],['80 mg'],,,1,Rx,X,N,X,"['you have active liver disease', 'you are pregnant or breastfeeding']",Cholesterol
mycophenolate mofetil,['CellCept ; Myhibbin'],['500 mg'],,,1,Rx,D,N,,"['astomach ulceror problems with digestion, diabetes', 'hepatitis B or C or other viral infection (may become active or get worse while you are using mycophenolate mofetil)', 'phenylketonuria, or PKU (the liquid form of this medicine may contain phenylalanine)', 'a rare inherited enzyme deficiency such asLesch-Nyhan syndromeor Kelley-Seegmiller syndrome']",Cholesterol
Niacor,['Endur-acin ; Flush Free Niacin; Heliocare Advanced ; Niacin SR ; Niacor;'],['500 mg'],,,1,Rx/OTC,C,N,X,"['severe liver disease', 'a stomach ulce', 'active bleeding']",Cholesterol
Trilipix,['Fibricor ; Trilipix'],['135 mg'],5.1,10,1,Rx,C,N,,"['severe kidney disease (or if you are on dialysis)', 'liver disease', 'gallbladder disease']",Cholesterol
Caduet,[None],['10 mg'],,,0,Rx,X,N,X,"['are allergic to Caduet, amlodipine (Norvasc), atorvastatin (Lipitor), or any of the inactive ingredients in the tablets', 'have liver disease', 'you are pregnant or breastfeeding']",Cholesterol
cholestyramine,['Prevalite ; Prevalite Packets; Questran ; Questran Light ; Questran Packets;'],[None],,,0,Rx,C,N,,['a blockage in your biliary tract'],Cholesterol
colestipol,['Colestid ; Colestid Flavored'],[None],8.0,1,0,Rx,N,N,,"['trouble swallowing', 'constipation or hemorrhoids', 'blockage in your intestines', 'a stomach or digestive disorde', 'liver disease', 'a thyroid disorde', 'ableeding disorde', 'a history of major stomach or bowelsurgery', 'if you have avitamin A, D, E, or K deficiency']",Cholesterol
Endur-acin,['Endur-acin; Flush Free Niacin; Heliocare Advanced ; Niacin SR ; Niacor ;'],[None],,,0,Rx/OTC,C,N,X,"['severe liver disease', 'a stomach ulce', 'active bleeding']",Cholesterol
evinacumab,['Evkeeza'],['345 mg'],,,0,Rx,,N,,"['Check interactions', 'Compare alternatives', 'Side effects', 'Dosage information', 'During pregnancy', 'Drug class: miscellaneous antihyperlipidemic agents', 'Breastfeeding', 'En español']",Cholesterol
Evkeeza,[None],['345 mg'],,,0,Rx,,N,,"['cold or flu symptoms such asfever, chills, body aches, stuffy nose, sneezing,sore throat', 'dizziness', 'pain in your arms or legs', 'nausea', 'lack of energy']",Cholesterol
ezetimibe / rosuvastatin,['Roszet'],[None],4.0,1,0,Rx,,N,X,"['activeliver disease', 'cirrhosis']",Cholesterol
Fibricor,['Fibricor; Trilipix'],['35 mg'],,,0,Rx,C,N,,"['severe kidney disease (or if you are on dialysis)', 'liver disease', 'gallbladder disease']",Cholesterol
HDL Benefit,['Endur-acin ; Flush Free Niacin; Heliocare Advanced ; Niacin SR ; Niacor ;'],[None],,,0,Rx/OTC,C,N,X,"['severe liver disease', 'a stomach ulce', 'active bleeding']",Cholesterol
icosapent,['Vascepa ; Icosapent Ethyl'],[None],10,1,0,Rx,C,N,,"['liver disease', 'diabetes', 'a thyroid disorde', 'problems with your pancreas', 'a bleeding or blood-clotting disorde', 'if you are allergic to fish or shellfish']",Cholesterol
inclisiran,['Leqvio'],['284 mg'],6.8,39,0,Rx,,N,,['end-stage kidney disease or severeliver disease'],Cholesterol
Juxtapid,[None],['10 mg'],,,0,Rx,X,N,X,"['are pregnant', 'have moderate or severe liver disease, or active liver disease', 'have abnormal liver function tests']",Cholesterol
lomitapide,['Juxtapid'],['10 mg'],,,0,Rx,X,N,X,"['are pregnant', 'have moderate or severe liver disease, or active liver disease', 'have abnormal liver function tests']",Cholesterol
Lypqozet,[None],[None],,,0,Rx,X,N,X,[None],Cholesterol
NiaVasc,['Endur-acin ; Flush Free Niacin; Heliocare Advanced ; Niacin SR ; Niacor ;'],[None],,,0,Rx/OTC,C,N,X,"['severe liver disease', 'a stomach ulce', 'active bleeding']",Cholesterol
omega-3 polyunsaturated fatty acids,['Animi-3 with Vitamin D ; BP Vit 3; Cardio Omega Benefits ; Dry Eye Omega Benefits ; EPA Fish Oil ;'],[None],,,0,Rx/OTC,C,N,,"['diabetes', 'bleeding problems, anemia (low red blood cells)', 'a heart rhythm disorde', 'a pancreas disorde', 'underactive thyroid', 'liver disease']",Cholesterol
Roszet,[None],[None],,,0,Rx,,N,X,[None],Cholesterol
Zypitamag,['Livalo ; Zypitamag'],['1 mg'],,,0,Rx,X,N,X,"['a thyroid disorde', 'diabetes', 'if you drink alcohol', 'liver disease,alcoholism', 'kidney disease (or if you are on dialysis)']",Cholesterol
Paxlovid,[None],['150 mg'],7.2,515,68,Rx,,N,,"['alfuzosin,colchicine', 'sildenafil(Revatio) when used to treatpulmonary arterial hypertension(PAH)', 'painmedicine - pethidine,piroxicam,propoxyphene', 'heart medicine -amiodarone,dronedarone,flecainide,propafenone,quinidine,ranolazine', 'antipsychotic medicine -lurasidone,pimozide,clozapine', 'ergot medicine -dihydroergotamine,ergotamine,methylergonovine', 'cholesterol-lowering medicine -lovastatin,simvastatin', 'a sedative -riazolam, oralmidazolam']",Covid 19
remdesivir,['Veklury'],['100 mg'],5.1,38,42,Rx,,N,X,"['liver disease', 'kidney disease']",Covid 19
baricitinib,['Olumiant'],['2 mg'],1.0,2,32,Rx,,N,,[None],Covid 19
Olumiant,[None],['2 mg'],1.0,2,32,Rx,,N,,[None],Covid 19
Veklury,[None],['100 mg'],,,16,Rx,,N,X,"['severeheadache, pounding in your neck or ears', 'fast, slow, or pounding heartbeats', 'wheezing, trouble breathing', 'swelling in your face', 'nausea', 'fever, chills, or shivering', 'itching, sweating', 'a light-headed feeling, like you might pass out']",Covid 19
Lagevrio,[None],['200 mg'],8.7,12,13,Rx,,N,,"['If you are a woman,do not use Lagevrio if you are pregnant Use effectivebirth controlto prevent pregnancy while you are using this medicine and for at least 4 days after your last dose', 'If you are a man,use an effective birth control if your sex partner is pregnant or is able to get pregnant Keep using birth control for at least 3 months after your last dose', 'Tell your doctor right away if a pregnancy occurs while either the mother or the father is using Lagevri']",Covid 19
molnupiravir,[None],['200 mg'],7.1,49,13,Rx,,N,,"['If you are a woman,do not use molnupiravir if you are pregnant Use effectivebirth controlto prevent pregnancy while you are using this medicine and for at least 4 days after your last dose', 'If you are a man,use an effective birth control if your sex partner is pregnant or is able to get pregnant Keep using birth control for at least 3 months after your last dose', 'Tell your doctor right away if a pregnancy occurs while either the mother or the father is using molnupiravi']",Covid 19
bamlanivimab / etesevimab,[None],[None],1.0,1,4,Rx,,U,,[None],Covid 19
REGEN-COV,[None],[None],5.5,2,4,Rx,,N,,"['a COVID-19 vaccine', 'a severe allergic reaction to a COVID-19 vaccine', 'any serious or chronic illness', 'anyallergies', 'if you are pregnant or breastfeeding']",Covid 19
Actemra,[None],['80 mg'],,,3,Rx,C,N,,"['an active or chronic infection', 'liver disease', 'diverticulitis, ulcers in your stomach or intestines', 'a nerve-muscle disease such asmultiple sclerosis', 'diabetes', 'HIV, or a weak immune system', 'hepatitis B (or if you are a carrier of the virus)', 'cance', 'if you have received or are scheduled to receive any vaccines']",Covid 19
nirmatrelvir / ritonavir,['Paxlovid'],['150 mg'],7.2,524,3,Rx,,N,,"['sildenafil (Revatio) when used to treat pulmonary arterial hypertension (PAH)', 'lumacaftor, ivacaft', 'alfuzosin, colchicine', 'tolvaptan', 'naloxegol', 'finerenone', 'flibanserin', 'lomitapide', 'voclosporin', 'rifampin,rifapentine', ""St John's Wort"", 'heart medicine--ivabradine, amiodarone, eplerenone,dronedarone, flecainide,propafenone, quinidine, ranolazine', 'prostate medicine--silodosin', 'antipsychotic medicine--lurasidone, pimozide', 'ergot medicines--dihydroergotamine, ergotamine,methylergonovine', 'migraine headachemedicine--eliptran, ubrogepant', 'cholesterol-lowering medicine--lovastatin,simvastatin', 'a sedative--triazolam, oral midazolam', 'a cancer medicine--apalutamide', 'seizure medicine--primidone,carbamazepine,phenobarbital, phenytoin']",Covid 19
tocilizumab,['Actemra ; Tofidence ; Tyenne ; Actemra ACTPen; Tyenne Prefilled Syringe; Tyenne Autoinjector'],['80 mg'],,,3,Rx,C,N,,"['an active, chronic, recent infection, or been prone to infections', 'tuberculosis, or been exposed to tuberculosis', 'low levels of white blood cells or platelets in your blood', 'diverticulitis, ulcers in your stomach or intestines', 'a nerve-muscle disorder such asmultiple sclerosis', 'a planned surgery or medical procedure', 'diabetes', 'HIV, or a weak immune system', 'hepatitis B(or if you are a carrier of the virus)', 'cance', 'recently received or are scheduled to receive any vaccines', 'liver disease']",Covid 19
anakinra,['Kineret'],['100 mg'],,,2,Rx,B,N,,"['an active infection', 'an allergy to any medicine that contains E coli bacteria proteins']",Covid 19
Kineret,[None],['100 mg'],,,2,Rx,B,N,,"['an active infection', 'an allergy to any medicine that contains E coli bacteria proteins']",Covid 19
sotrovimab,[None],[None],,,2,Rx,,N,,"['any serious or chronic illness', 'any allergies', 'if you are pregnant or breastfeeding']",Covid 19
bebtelovimab,[None],[None],3.5,4,1,Rx,,N,,[None],Covid 19
Gohibic,[None],[None],10,1,1,Rx,,N,,"['allergies', 'an infection other than COVID-19', 'any serious illnesses']",Covid 19
bamlanivimab and etesevimab,[None],[None],1.0,1,0,Rx,,U,,[None],Covid 19
Comirnaty,['Comirnaty 2024-2025 Formula'],[None],,,0,Rx,,N,,[None],Covid 19
COVID-19 mRNA (Moderna) vaccine,['Spikevax (2024-2025) PF (cvx 312); Spikevax (2023-2024) PF (cvx 312)'],[None],5.0,30,0,Rx,,N,,"['have any allergies', 'have had inflammation in or around your heart (myocarditis orpericarditis)', 'have a feve', 'have bleeding problems or taking a blood thinner (warfarin,Coumadin,Jantoven)', 'have a weak immune system caused by disease or by using certain medicines', 'are pregnant, plan to become pregnant, or breastfeeding', 'have received any other COVID-19 vaccine or if you are scheduled to receive a vaccine', 'have fainted after receiving an injection']",Covid 19
COVID-19 mRNA (Pfizer) vaccine,[None],[None],6.9,16,0,Rx,,N,,[None],Covid 19
"sars-cov-2 (covid-19) nvx-cov2373 vaccine, recombinant",[None],[None],0.0,1,0,Rx,,N,,[None],Covid 19
"sars-cov-2 nvx-cov2373 vaccine, recomb (cvx 313)",['Novavax COVID-19 (2024-2025) Vaccine; Adjuvanted PF (cvx 313); Novavax COVID-19 (2023-2024) Vaccine; Adjuvanted PF (cvx 313); Novavax COVID-19 (2024-2025) Vaccine; Adjuvanted PF (cvx 313)'],[None],,,0,Rx,,N,,"['have a feve', 'have any allergies', 'have bleeding problems, or if you use a blood thinner (warfarin,Coumadin,Jantoven)', 'have had inflammation in or around your heart (myocarditis orpericarditis)', 'have a weak immune system caused by disease or by using certain medicine', 'are pregnant, plan to become pregnant, or breastfeeding', 'have received any other COVID-19 vaccine or if you are scheduled to receive a vaccine', 'have ever fainted when or after receiving an injection']",Covid 19
Spikevax,['Spikevax 2024-2025 Formula'],[None],,,0,Rx,,N,,[None],Covid 19
vilobelimab,['Gohibic'],[None],10,1,0,Rx,,N,,"['allergies', 'an infection other than COVID-19', 'any serious illnesses']",Covid 19
docusate,['Colace ; Colace Clear; Docu Soft; Doculase; Docusate Mini;'],['100 mg'],6.4,44,100,Rx/OTC,N,N,,"['stomach pain', 'nausea', 'vomiting', 'a sudden change in bowel habits that lasts over 2 weeks']",Constipation
MiraLAX,[None],[None],7.3,191,72,Rx/OTC,C,N,,"['nausea, vomiting, or severe stomach pain', 'ulcerative colitis', 'irritable bowel syndrome', 'kidney disease', 'if you have had a sudden change in bowel habits that has lasted 2 weeks or longe']",Constipation
Colace,[None],['100 mg'],6.1,17,60,Rx/OTC,N,N,,"['stomach pain', 'nausea', 'vomiting', 'a sudden change in bowel habits that lasts over 2 weeks']",Constipation
Dulcolax,[None],['5 mg'],5.4,1031,43,OTC,B,N,,"['stomach pain, nausea, or vomiting']",Constipation
bisacodyl,['Alophen; Bisac-Evac; Correct (New Formula); Correctol ; Dulcolax Laxative;'],['5 mg'],5.4,1444,32,OTC,B,N,,"['stomach pain,nausea, orvomiting']",Constipation
polyethylene glycol 3350,['ClearLax ; GaviLAX ; HealthyLax ; MiraLax ; Natura-Lax;'],[None],7.2,257,29,Rx/OTC,C,N,,"['nausea,vomiting, or severe stomach pain', 'ulcerative colitis', 'irritable bowel syndrome', 'kidney disease', 'if you have had a sudden change in bowel habits that has lasted 2 weeks or longe']",Constipation
Dulcolax Stool Softener,[None],[None],5.5,2,24,Rx/OTC,N,N,,"['nausea, vomiting, or severe stomach pain', 'a blockage in your intestines', 'chronic stomach pain that has not been checked by a doct']",Constipation
magnesium oxide,"[""Phillips' Cramp-free ; Uro-Mag ; MagGel ; Mag-200 ; Mag-Ox 400; UroMag""]",['400 mg'],8.6,17,22,Rx/OTC,C,N,,"['stomach pain, nausea, vomiting', 'a sudden change in bowel habits that has lasted longer than 2 weeks', 'if you are on a low-magnesium diet', 'kidney disease']",Constipation
Milk of Magnesia,['Dulcolax Liquid; Milk of Magnesia; Pedia-Lax Chewable; Phillips Milk of Magnesia; Ex-Lax Milk of Magnesia Drug classes: Antacids ; Laxatives'],[None],8.8,44,21,Rx/OTC,N,N,,"['you have kidney disease', 'you are on a low-magnesium diet', 'you have a sudden change in bowel habits that has been ongoing for longer than 2 weeks']",Constipation
magnesium citrate,['Citrate of Magnesia ; Citroma Cherry; Citroma Lemon; ColonX; OneLAX Magnesium Citrate;'],[None],8.7,479,20,Rx/OTC,C,N,,"['a sudden change in bowel habits that has lasted longer than 2 weeks', 'stomach pain, nausea, vomiting', 'if you are on a low-magnesium or low-sodium diet', 'kidney disease']",Constipation
Metamucil,['Metamucil'],[None],6.7,35,16,OTC,N,N,,[None],Constipation
Citrucel,[None],['500 mg'],10,2,14,Rx/OTC,N,N,,"['irritable bowel syndrome', 'trouble swallowing', 'stomach pain withnauseaorvomiting', 'a sudden change in bowel habits that lasts 2 weeks or longe', 'if you have been constipated for more than 1 week']",Constipation
Doc-Q-Lace,[None],['100 mg'],,,11,Rx/OTC,N,N,,"['nausea, vomiting, or severe stomach pain', 'a blockage in your intestines', 'chronic stomach pain that has not been checked by a doct']",Constipation
