drug_name,brand_name,dosage,rating,review,activity,prescription,preg,csa,alcohol,allergy,disease_list
Wegovy,[None],['25 mg'],7.4,384,50,Rx,,N,X,"['multiple endocrine neoplasia type 2 (tumors in your glands)', 'a personal or family history of medullary thyroid carcinoma (a type of thyroid cancer) ordiabetic ketoacidosis(call your doctor for treatment)']",Obesity
topiramate,['Eprontia ; Qudexy XR Sprinkle; Topamax ; Topamax Sprinkle; Topiramate ER (Eqv-Qudexy XR);'],['50 mg'],7.4,234,46,Rx,D,N,X,"['glaucoma or other eye problems', 'high blood levels of ammonia', 'metabolic acidosis (high levels of acid in your blood)', 'lung disease, breathing problems', 'depression, mood changes, or suicidal thoughts or actions', 'a growth problem', 'diarrhea', 'a planned surgery', 'kidney stones', 'a bone disorder that causes soft or weak bones or low bone mineral density', 'follow a ketogenic diet (high-fat, high-protein, low-carb)', 'liver disease', 'kidney disease (or if you are on dialysis)']",Obesity
semaglutide,['Ozempic ; Wegovy ; Rybelsus'],['3 mg'],7.4,688,45,Rx,,N,X,"['multiple endocrine neoplasia type 2 (tumors in your glands)', 'a personal or family history of medullary thyroid carcinoma (a type of thyroid cancer)', 'diabetic ketoacidosis(call your doctor for treatment)']",Obesity
Mounjaro,[None],['5 mg'],9.0,336,43,Rx,,N,X,[None],Obesity
Adipex-P,['Adipex-P; Lomaira Drug classes: Anorexiants ; CNS stimulants'],['5 mg'],8.9,602,38,Rx,X,4,X,"['a history of heart disease (coronary artery disease, heart rhythm problems, congestiveheart failure, stroke)', 'severe or uncontrolled high blood pressure', 'overactive thyroid', 'glaucoma', 'extreme agitation or nervousness', 'a history of drug abuse', 'if you take other diet pills']",Obesity
tirzepatide,['Mounjaro ; Zepbound'],['5 mg'],9.0,578,35,Rx,,N,X,[None],Obesity
Zepbound,['Zepbound; Mounjaro'],['5 mg'],9.2,118,34,Rx,,N,X,[None],Obesity
Contrave,[None],['90 mg'],6.6,1971,21,Rx,X,N,X,"['untreated or uncontrolled high blood pressure', 'an eating disorder (anorexia or bulimia)', 'a history of seizures', 'opioid addiction or withdrawal (or if you take methadone or buprenorphine)', 'if you take other forms of bupropion (Wellbutrin, Aplenzin, Budeprion, Forfivo, Zyban, and others)', 'if you have suddenly stopped using alcohol, seizure medication, or a sedative such as Xanax, Valium, Fiorinal, Klonopin, and others']",Obesity
bupropion,['Wellbutrin ; Wellbutrin SR ; Wellbutrin XL ; Zyban ; Aplenzin ; Budeprion XL ; Forfivo XL Drug classes: Miscellaneous antidepressants ; Smoking cessation agents'],['150 mg'],7.4,57,19,Rx,C,N,X,"['a seizure disorde', 'an eating disorder such as anorexia or bulimia', 'if you have suddenly stopped using alcohol, seizure medication, or a sedative (such as Xanax, Valium, Fiorinal, Klonopin, and others)']",Obesity
Saxenda,['Saxenda; Victoza'],['18 mg'],7.5,1444,14,Rx,C,N,X,[None],Obesity
Alli,['alli; Xenical'],['60 mg'],6.0,114,13,OTC,X,N,,"['gallbladder problems', 'if you are pregnant']",Obesity
orlistat,['Alli ; Xenical'],[None],7.4,380,13,Rx/OTC,X,N,,"['gallbladder problems', 'if you are pregnant']",Obesity
Xenical,['alli ; Xenical'],['120 mg'],8.4,119,12,Rx,X,N,,"['gallbladder problems', 'if you are pregnant']",Obesity
diethylpropion,['Tenuate ; Tenuate Dospan'],['25 mg'],8.7,160,11,Rx,B,4,X,"['pulmonary hypertension', 'severe coronary artery disease', 'severe high blood pressure', 'an overactive thyroid', 'a history of drug abuse', 'glaucoma', 'if you are in an agitated state']",Obesity
phendimetrazine,['Bontril; Melfiat Drug classes: Anorexiants ; CNS stimulants'],['35 mg'],8.3,151,11,Rx,C,3,X,"['severe heart problems', 'advanced coronary artery disease (clogged arteries)', 'severe or uncontrolled high blood pressure', 'overactive thyroid', 'glaucoma', 'extreme agitation or nervousness', 'a history of drug abuse']",Obesity
Qsymia,[None],['5 mg'],7.7,565,11,Rx,X,4,X,"['glaucoma', 'overactive thyroid', 'if you are pregnant or may become pregnant']",Obesity
methamphetamine,['Desoxyn ; Desoxyn Gradumet Drug classes: Anorexiants ; CNS stimulants'],['5 mg'],10,5,9,Rx,C,2,X,"['moderate to severe high blood pressure', 'heart disease or coronary artery disease (hardened arteries)', 'overactive thyroid', 'glaucoma', 'severe anxiety, tension, or agitation (stimulant medicine can make these symptoms worse)', 'a history of drug or alcohol addiction']",Obesity
Pregnyl,['Novarel ; Ovidrel ; Pregnyl'],[None],9.0,1,6,Rx,X,N,,"['early puberty (precocious puberty)', 'a hormone-relatedcancer(such asprostate cancer)']",Obesity
liraglutide,['Saxenda ; Victoza'],['18 mg'],7.6,1777,5,Rx,C,N,X,"['multiple endocrine neoplasia type 2 (tumors in your glands)', 'a personal or family history of medullary thyroid carcinoma (a type of thyroid cancer)']",Obesity
amphetamine,['Adzenys ER ; Adzenys XR-ODT ; Dyanavel XR ; Evekeo ; Evekeo ODT ; Amphetamine Sulfate'],['10 mg'],10,1,4,Rx,C,2,X,"['chest pain or breathing problems caused by heart disease', 'hardening of the arteries', 'moderate to severehigh blood pressure', 'overactive thyroid', 'a history of drug abuse', 'if you are agitated']",Obesity
bupropion / naltrexone,['Contrave'],['90 mg'],6.6,2049,4,Rx,X,N,X,"['untreated or uncontrolled high blood pressure', 'an eating disorder (anorexia or bulimia)', 'a history of seizures', 'opioid addiction or withdrawal (or if you take methadone orbuprenorphine)', 'if you take other forms of bupropion (Wellbutrin, Aplenzin, Budeprion, Forfivo, Zyban, and others)', 'if you have suddenly stopped using alcohol, seizure medication, or a sedative such as Xanax, Valium, Fiorinal, Klonopin, and others)']",Obesity
Lomaira,['Adipex-P ; Lomaira; Suprenza'],['8 mg'],8.0,50,4,Rx,X,4,X,"['a history ofheart disease(coronary artery disease, heart rhythm problems, congestiveheart failure, stroke)', 'severe or uncontrolled high blood pressure', 'overactive thyroid', 'glaucoma', 'extreme agitation or nervousness', 'a history of drug abuse', 'if you take other diet pills']",Obesity
phentermine / topiramate,['Qsymia'],['5 mg'],7.8,690,4,Rx,X,4,X,"['glaucoma', 'overactive thyroid', 'if you are pregnant or may become pregnant']",Obesity
chorionic gonadotropin (hcg),['Novarel ; Ovidrel ; Pregnyl ; A.P.L.; Profasi ;'],[None],7.0,14,3,Rx,X,N,,"['early puberty (precocious puberty)', 'a hormone-relatedcancer(such asprostate cancer)']",Obesity
cimetidine,['Tagamet HB ; Tagamet'],['200 mg'],,,3,Rx/OTC,B,N,X,"['stomach pain, nausea, and vomiting', 'trouble swallowing', 'frequent chest pain', 'heartburn with wheezing', 'unexplainedweight loss', 'heartburn lasting longer than 3 months', 'liver or kidney disease']",Obesity
desvenlafaxine,['Pristiq ; Khedezla'],['50 mg'],8.4,10,3,Rx,C,N,X,"['heart disease,high blood pressure,high cholesterol, or a stroke', 'bipolar disorder(manic depression)', 'depression, suicidal thoughts', 'liver or kidney disease', 'glaucoma', 'seizures or epilepsy', 'sexual problems', 'lung or breathing problems', 'a bleeding or blood clotting disorde', 'low levels of sodium in your blood']",Obesity
methylphenidate,['Adhansia XR ; Aptensio XR ; Concerta ; Cotempla XR-ODT ; Jornay PM ;'],['36 mg'],6.0,1,3,Rx,C,2,X,"['glaucoma', 'severe high blood pressure or a heart problem', 'overactive thyroid', ""a personal or family history of tics (muscle twitches) orTourette's syndrome"", 'severeanxiety, tension, oragitation(stimulant medicine can make these symptoms worse)']",Obesity
Atti-Plex P,['Adipex; Adipex-P ; Atti-Plex P; Fastin ; Ionamin ;'],[None],,,2,Rx,X,4,X,[None],Obesity
benzphetamine,['Regimex ; Didrex'],['50 mg'],7.7,18,2,Rx,X,3,X,"['coronary artery disease(hardening of the arteries)', 'heart disease, heart rhythm disorde', 'severe or uncontrolled high blood pressure', 'overactive thyroid', 'glaucoma', 'if you are pregnant', 'if you have a history of drug or alcohol abuse', 'if you have used any other diet pills within the past yea']",Obesity
Bontril PDM,['Bontril; Bontril PDM; Bontril Slow-Release; Melfiat ; Obezine ;'],['35 mg'],6.0,5,2,Rx,C,3,X,[None],Obesity
dulaglutide,['Trulicity Pen; Trulicity'],['75 mg'],,,1,Rx,C,N,X,"['multiple endocrine neoplasia type 2 (tumors in your glands)', 'a personal or family history of medullary thyroid carcinoma (a type of thyroid cancer)', 'diabetic ketoacidosis (call your doctor for treatment)']",Obesity
