drug_name,brand_name,dosage_mg,rating,review,activity,prescription,preg,csa,alcohol,allergy,disease_list,allergy_cleaned,disease_list_cleaned
lurasidone,latuda,40.0,6.3,716.0,5.0,rx,b,n,x,"'antifungal medicine such asketoconazoleorvoriconazole', 'an antibiotic such asclarithromycinor rifampin', 'an antiviral such as ritonavi', ""st john's wort"", 'seizure medicine such ascarbamazepineor phenytoin'",bipolar disorder,"antifungal medicine asketoconazoleorvoriconazole , antibiotic asclarithromycinor rifampin , antiviral ritonavi , st johns wort , seizure medicine ascarbamazepineor phenytoin",bipolar disorder
armodafinil,nuvigil,200.0,9.3,15.0,4.0,rx,c,4,n,"'liver or kidney disease', 'a heart muscle or valve disorder such asmitral valve prolapse', 'high blood pressure,heart disease, or priorheart attack', 'mental illness orpsychosis', 'drug or alcohol addiction'",bipolar disorder,"liver kidney disease , heart muscle valve disorder asmitral valve prolapse , high blood pressure , heart disease , priorheart attack , mental illness orpsychosis , drug alcohol addiction",bipolar disorder
lamictal odt,lamictal ; lamictal odt; lamictal xr ; subvenite,25.0,9.0,3.0,4.0,rx,c,n,x,"'a rash or allergic reaction after taking another seizure medication', 'kidney orliver disease', 'heart problems such asheart blockor irregular heartbeats', 'depression, suicidal thoughts or actions', 'meningitis(inflammation of the tissue that covers the brain and spinal cord) after taking lamictal odt'",bipolar disorder,"rash allergic reaction taking another seizure medication , kidney orliver disease , heart problems asheart blockor irregular heartbeats , depression , suicidal thoughts actions , meningitisinflammation tissue covers brain spinal cord taking lamictal odt",bipolar disorder
symbyax,common,25.0,7.9,38.0,4.0,rx,c,n,x,"""alzheimer's disease:"", 'liver disease', 'narrow-angleglaucoma', 'heart problems', 'high orlow blood pressure', 'low white blood cell (wbc) counts', 'a seizure', 'bleeding problems', 'breast cance', 'a stroke, including ""mini-stroke"" or ""tia""', 'diabetes,high cholesterolor triglycerides', 'bowel obstruction, or severeconstipation', 'electroconvulsive therapy (ect)', 'anenlarged prostate', 'trouble swallowing'",bipolar disorder,"alzheimers disease , liver disease , narrowangleglaucoma , heart problems , high orlow blood pressure , low white blood cell wbc counts , seizure , bleeding problems , breast cance , stroke , including ministroke tia , diabetes , high cholesterolor triglycerides , bowel obstruction , severeconstipation , electroconvulsive therapy ect , anenlarged prostate , trouble swallowing",bipolar disorder
valproic acid,valproate sodium ; depakene ; depacon ; stavzor,250.0,5.8,28.0,4.0,rx,d,n,x,"'liver disease', 'a urea cycle disorde', ""a genetic mitochondrial (mye-toe-kon-dree-al) disorder such as alpers' disease or alpers-huttenlocher syndrome, especially in a child younger than 2 years old""",bipolar disorder,"liver disease , urea cycle disorde , genetic mitochondrial myetoekondreeal disorder alpers disease alpershuttenlocher syndrome , especially child younger 2 years old",bipolar disorder
asenapine,saphris,5.0,7.2,249.0,3.0,rx,c,n,x,'severeliver disease',bipolar disorder,severeliver disease,bipolar disorder
desvenlafaxine,pristiq ; khedezla,50.0,7.1,21.0,3.0,rx,c,n,x,"'heart disease,high blood pressure,high cholesterol, or a stroke', 'bipolar disorder(manic depression)', 'depression, suicidal thoughts', 'liver or kidney disease', 'glaucoma', 'seizures or epilepsy', 'sexual problems', 'lung or breathing problems', 'a bleeding or blood clotting disorde', 'low levels of sodium in your blood'",bipolar disorder,"heart disease , high blood pressure , high cholesterol , stroke , bipolar disordermanic depression , depression , suicidal thoughts , liver kidney disease , glaucoma , seizures epilepsy , sexual problems , lung breathing problems , bleeding blood clotting disorde , low levels sodium blood",bipolar disorder
fluoxetine / olanzapine,symbyax,25.0,7.7,48.0,3.0,rx,c,n,x,"""alzheimer's disease:"", 'liver disease', 'narrow-angle glaucoma', 'heart problems', 'high orlow blood pressure', 'low white blood cell (wbc) counts', 'a seizure', 'bleeding problems', 'breast cance', 'a stroke, including ""mini-stroke"" or ""tia""', 'diabetes,high cholesterolor triglycerides', 'bowel obstruction, or severe constipation', 'electroconvulsive therapy (ect)', 'anenlarged prostate', 'trouble swallowing'",bipolar disorder,"alzheimers disease , liver disease , narrowangle glaucoma , heart problems , high orlow blood pressure , low white blood cell wbc counts , seizure , bleeding problems , breast cance , stroke , including ministroke tia , diabetes , high cholesterolor triglycerides , bowel obstruction , severe constipation , electroconvulsive therapy ect , anenlarged prostate , trouble swallowing",bipolar disorder
levetiracetam,elepsia xr ; keppra ; keppra xr ; roweepra ; spritam ; roweepra xr,500.0,6.6,8.0,3.0,rx,c,n,x,"'depression, amood disorder, or suicidal thoughts or actions', 'high blood pressure', 'mental illness orpsychosis', 'kidney disease (or if you are on dialysis)'",bipolar disorder,"depression , amood disorder , suicidal thoughts actions , high blood pressure , mental illness orpsychosis , kidney disease dialysis",bipolar disorder
lithobid,common,300.0,6.7,15.0,3.0,rx,d,n,x,"'breathing problems', 'heart disease', 'kidney disease', 'a thyroid disorde', 'an abnormal electrocardiograph or ecg (sometimes called an ekg)', 'fainting spells', 'a family member who died before age 45'",bipolar disorder,"breathing problems , heart disease , kidney disease , thyroid disorde , abnormal electrocardiograph ecg sometimes called ekg , fainting spells , family member died age 45",bipolar disorder
